Week,ice cream,Volleyball,tennis
2013-06-22,33,11,34
2013-06-29,40,11,38
2013-07-06,32,12,34
2013-07-13,35,10,27
2013-07-20,36,11,27
2013-07-27,30,12,27
2013-08-03,29,12,28
2013-08-10,28,14,33
2013-08-17,25,16,33
2013-08-24,24,18,57
2013-08-31,24,20,78
2013-09-07,20,20,52
2013-09-14,19,19,24
2013-09-21,18,19,23
2013-09-28,17,19,24
2013-10-05,17,19,23
2013-10-12,16,20,22
2013-10-19,16,21,22
2013-10-26,14,21,22
2013-11-02,15,22,22
2013-11-09,16,22,21
2013-11-16,15,18,18
2013-11-23,16,13,17
2013-11-30,14,13,18
2013-12-07,14,12,18
2013-12-14,15,11,17
2013-12-21,17,8,17
2013-12-28,17,9,21
2014-01-04,18,11,21
2014-01-11,16,12,28
2014-01-18,18,12,34
2014-01-25,18,11,23
2014-02-01,17,11,21
2014-02-08,18,11,20
2014-02-15,18,12,22
2014-02-22,18,12,24
2014-03-01,19,11,24
2014-03-08,21,12,31
2014-03-15,21,12,28
2014-03-22,21,12,31
2014-03-29,22,12,26
2014-04-05,24,12,24
2014-04-12,24,11,25
2014-04-19,23,11,27
2014-04-26,24,11,24
2014-05-03,25,11,27
2014-05-10,28,11,28
2014-05-17,28,11,28
2014-05-24,32,11,33
2014-05-31,31,12,36
2014-06-07,30,12,31
2014-06-14,31,11,26
2014-06-21,32,11,31
2014-06-28,40,11,36
2014-07-05,35,11,33
2014-07-12,35,12,26
2014-07-19,38,12,27
2014-07-26,34,13,27
2014-08-02,31,13,29
2014-08-09,28,15,30
2014-08-16,27,17,31
2014-08-23,25,19,54
2014-08-30,25,21,77
2014-09-06,21,23,44
2014-09-13,20,23,23
2014-09-20,20,21,22
2014-09-27,18,22,22
2014-10-04,17,21,21
2014-10-11,17,21,20
2014-10-18,17,21,22
2014-10-25,15,22,20
2014-11-01,15,23,19
2014-11-08,15,23,20
2014-11-15,15,18,19
2014-11-22,16,13,17
2014-11-29,14,14,18
2014-12-06,15,12,18
2014-12-13,16,12,18
2014-12-20,18,8,16
2014-12-27,18,9,17
2015-01-03,16,11,21
2015-01-10,17,13,20
2015-01-17,18,12,28
2015-01-24,19,12,31
2015-01-31,18,12,22
2015-02-07,18,12,21
2015-02-14,19,12,21
2015-02-21,20,12,22
2015-02-28,21,12,21
2015-03-07,24,12,25
2015-03-14,27,12,30
2015-03-21,24,12,28
2015-03-28,25,11,28
2015-04-04,26,11,25
2015-04-11,27,12,26
2015-04-18,34,12,26
2015-04-25,29,12,24
2015-05-02,30,11,25
2015-05-09,30,11,27
2015-05-16,31,11,26
2015-05-23,36,12,31
2015-05-30,32,12,36
2015-06-06,34,12,29
2015-06-13,35,12,25
2015-06-20,36,12,24
2015-06-27,41,11,34
2015-07-04,38,11,42
2015-07-11,38,12,33
2015-07-18,50,12,25
2015-07-25,38,12,25
2015-08-01,37,13,26
2015-08-08,34,15,28
2015-08-15,32,18,31
2015-08-22,28,21,31
2015-08-29,29,22,78
2015-09-05,28,23,100
2015-09-12,24,22,45
2015-09-19,23,22,23
2015-09-26,20,22,21
2015-10-03,20,22,21
2015-10-10,20,22,21
2015-10-17,19,22,21
2015-10-24,17,23,20
2015-10-31,18,24,21
2015-11-07,18,25,19
2015-11-14,21,20,20
2015-11-21,20,13,18
2015-11-28,16,15,18
