-140.37	60.25
-132.08	57.2
-131.46	55.98
-133.84	57.12
-136.01	59.12
-137.12	58.28
-139.98	59.73
-146.54	60.36
-149.9	59.5
-149.18	60.81
-153.53	59.32
-156.52	57.11
-162.34	55.06
-157.85	58.12
-162.06	58.36
-164.58	60.06
-165.29	62.57
-161.12	64.48999999999999
-168.23	65.48999999999999
-162.99	65.97
-161.56	66.55
-166.64	68.25
-159.53	70.38
-154.37	70.95999999999999
-148.09	70.26000000000001
-142.49	69.83
-141.21	69.56
nan	nan
-152.62	58.41
-152.6	58.4
nan	nan
-153.3	57.8
-152.4	57.48
-153.32	57.79
nan	nan
-166.96	53.96
-167.01	53.95
nan	nan
-168.36	53.5
-168.19	53.36
nan	nan
-170.73	52.68
-170.6	52.55
nan	nan
-174.47	51.94
-174.47	51.92
nan	nan
-176.58	51.71
-176.64	51.73
nan	nan
-177.55	51.76
-177.41	51.63
nan	nan
-178.27	51.75
nan	nan
177.35	51.8
177.33	51.76
nan	nan
172.44	53
172.55	53.03
nan	nan
-141.21	60.16
-133.38	58.93
-130.88	54.83
-128.86	53.9
-126.58	52.12
-127.08	50.8
-124.42	49.66
-122.56	48.91
nan	nan
-92.31999999999999	48.24
-88.13	48.92
-83.11	46.27
-81.66	44.76
-82.09	42.29
-77.09999999999999	44
-69.95	46.92
-65.92	45.32
-66.37	44.25
-61.22	45.43
-64.94	47.34
-64.12	48.52
-70.68000000000001	47.02
-67.23999999999999	49.33
-59.82	50.48
-56.14	52.46
-59.07	53.58
-58.26	54.21
-60.69	55.33
-61.97	57.41
-64.34999999999999	59.49
-67.29000000000001	58.15
-69.89	59.91
-71.31	61.45
-78.22	61.97
-77.28	59.53
-77.09	55.88
-79.06	51.68
-82.23	52.7
-86.75	55.72
-92.17	56.86
-95.61	58.82
-92.66	62.02
-90.65000000000001	63.24
-95.95999999999999	64.12
-89.88	63.98
-89.3	65.22
-86.86	66.12
-84.54000000000001	66.88
-82.3	67.76000000000001
-83.09999999999999	69.68000000000001
-86.05	67.98
-88.18000000000001	68.2
-91	68.81999999999999
-91.72	69.69
-93.15000000000001	71.09
-96.58	71.05
-93.34999999999999	69.52
-94.23	68.25
-95.95999999999999	66.73
-98.83	68.27
-102.45	67.69
-108.34	68.43000000000001
-105.83	68.05
-108.15	66.59999999999999
-111.15	67.63
-114.1	68.23
-120.92	69.44
-124.32	69.26000000000001
-128.76	70.5
-131.86	69.19
-131.15	69.79000000000001
