CODE,LATITUDE,LONGITUDE,ELEVATION,NETWORK,STATUS,NAME
-A0MA, 46.6886,-106.2222,  897.0,LRSM,Closed,Subarray A0 LASA
034A, 27.0647, -98.6833,  155.0,USTA,Open,Hebronville
035A, 26.9379, -98.1023,   29.0,USTA,Open,Encino
035Z, 26.4630, -98.0683,   19.0,USTA,Open,Hargill
121A, 32.5324,-107.7851, 1652.0,USTA,Open,Cookes Peak; Deming
128A, 32.6213,-102.4850,  966.0,USTA,Open,Castleberry Farm; Seminole
129A, 32.6309,-101.8662,  876.0,USTA,Open,Stewart Farms; Lamesa
130A, 32.5961,-100.9652,  676.0,USTA,Open,Snyder
131A, 32.6737,-100.3888,  622.0,USTA,Open,Roby
214A, 31.9559,-112.8115,  543.0,USTA,Open,Organ Pipe Cactus National Monument; Ajo
226A, 32.0618,-104.1014,  929.0,USTA,Closed,Malaga; Loving
227A, 32.0120,-103.2924,  879.0,USTA,Closed,Bennet; Jal
228A, 32.1180,-102.5918,  954.0,USTA,Open,UT Block 9; Goldsmith
229A, 31.9671,-101.8107,  804.0,USTA,Open,Bryant Ranch; Stanton
230A, 31.8878,-101.1124,  742.0,USTA,Open,Sterling City
231A, 31.9353,-100.3163,  574.0,USTA,Open,Bronte
232A, 31.8880, -99.6469,  621.0,USTA,Open,Coleman
233A, 32.0179, -98.8998,  539.0,USTA,Open,Rising Star
234A, 32.0040, -98.1368,  358.0,USTA,Open,Clairette
319A, 31.3757,-109.2809, 1187.0,USTA,Open,Douglas
329A, 31.4870,-101.9808,  842.0,USTA,Open,Wagon Wheel Ranch; Midkiff
429A, 30.6248,-101.8938,  804.0,USTA,Open,Davenport Ranch; Sheffield
634A, 29.3815, -98.3515,  188.0,USTA,Open,China Grove; San Antonio
635A, 29.3877, -97.7736,  119.0,USTA,Open,Leesville
734A, 28.8473, -98.5576,  121.0,USTA,Open,La Parita Creek; Jourdanton
735A, 28.8553, -97.8081,   90.0,USTA,Open,Kenedy
832A, 28.2844, -99.9743,  238.0,USTA,Open,Faith Ranch; Carrizo Springs
833A, 28.3236, -99.3939,  171.0,USTA,Open,Chaparral WMA; Artesia Wells
834A, 28.1251, -98.5519,  151.0,USTA,Open,Tilden
835A, 28.2870, -97.8297,   57.0,USTA,Open,Beeville
933A, 27.6113, -99.2746,  214.0,USTA,Open,Laredo
934A, 27.6018, -98.5192,  144.0,USTA,Open,Benavides
936A, 27.4208, -97.3091,   -3.0,USTA,Open,North Padre Island; Corpus Christi
A05A, 48.9983,-122.0852,  174.3,SEA,Open,Maple Falls
A10, 10.4611, -84.7156,  830.0,ICE,Closed,Crater
A11, 47.2425, -70.1978,   61.0,CLTN,Open,Saint Roch-des-Aulnaies
A16, 47.4706, -70.0064,   15.0,CLTN,Open,Rivi&egrave;re Ouelle
A19A, 48.9286,-108.7429,  971.0,USTA,Open,Klindworth Farms; Hogeland
A20A, 48.8799,-107.9257,  868.0,USTA,Open,Cobblestone Ranch; Loring
A21, 47.7036, -69.6897,   46.0,CLTN,Open,Saint Andre
A21A, 48.9912,-106.9254,  779.0,USTA,Open,Bergtoll Ranch; Theony
A22A, 48.9926,-105.9153,  861.0,USTA,Open,Carney Farms; Richland
A23A, 48.9592,-104.8786,  665.0,USTA,Open,Redstone
A24A, 48.9239,-104.0018,  677.0,USTA,Open,Westby
A25A, 48.9388,-103.1128,  584.0,USTA,Open,Svangstu Ranch; Noonan
A26A, 48.8973,-102.0380,  570.0,USTA,Open,Wade Farm; Kenmare
A27A, 48.9533,-101.2407,  466.0,USTA,Open,Ledoux Ranch; Antler
A28A, 48.9096,-100.2669,  692.0,USTA,Open,Rude Farm; Bottineau
A29A, 48.9228, -99.2321,  480.0,USTA,Open,Manning Farm; Rocklake
A30A, 48.9402, -98.3009,  484.0,USTA,Open,Hoffart Farm; Langdon
A54, 47.4567, -70.4125,  381.0,CLTN,Open,Misere
A61, 47.6931, -70.0900,  358.0,CLTN,Open,Sainte Mathilde
A64, 47.8264, -69.8922,  137.0,CLTN,Open,Saint Sim&eacute;on
AA-IS, 52.2117,-174.2036,    6.0,LRSM,Closed,Atka
AA1,,,,,Alternate,(Alternate Abbreviation for AAA)
AA2,,,,,Alternate,(Alternate Abbreviation for TLG)
AAA, 43.2717,  76.9467,  800.0,KAZK,Open,Almaty (Alma-Ata)
AAB,,,,,Alternate,(Alternate Abbreviation for TLG)
AAC, 50.7833,   6.0833,  179.0,,Closed,Aachen
AADN, 22.1100,  31.5500,  200.0,HLW,Open,Adndan
AAE,  9.0292,  38.7656, 2442.0,AAE,Open,Adis Abeba (Addis Ababa)
AAGR,-33.0852, -68.8284, 1159.0,SJA,Reserved,Agrelo
AAHD, 23.7463,  32.7528,    0.0,HLW,Open,Abu Hadid
AAI, -3.6870, 128.1945,   80.0,DJA,Open,Ambon
AAK, 42.6390,  74.4940, 1645.0,KYRG,Open,Ala-Archa
AAL, 60.1780,  19.9936,   10.0,,Open,Aland
AALM, 36.8300,  -2.4017,   10.0,CRT,Reserved,Campus Universitario de Almer&iacute;a
AAM, 42.3012, -83.6567,  172.0,AAM,Open,Ann Arbor
AAMC, 42.2780, -83.7360,  250.0,AAM,Open,University of Michigan
AANS, 30.2910,  31.4000,   60.0,HLW,Open,
AAP, 10.4200, 121.9440,   50.0,PIVS,Open,Anini-y
AAPN, 37.3077,  -4.1210, 1160.0,CRT,Open,Arroyo Pinares
AAR, 46.1333,  25.8950, 1101.0,BUC,Closed,Sfinta Ana
AARM, 39.2762,-121.0255,  930.0,MNLO,Open,Airport Road
AAS,-62.1600, -58.4625,   15.0,WAR,Closed,Arctowski Station
AASM, 38.4300,-121.1085,   65.0,MNLO,Open,Arroyo Seco
AAT,,,,,Reserved,Alma-Ata
AAU, 40.5919,-111.6383, 2694.0,SLC,Closed,Alta
AB-,,,,,Alternate,(Alternate Abbreviation for AB-WV)
AB-WV, 39.3306, -79.5669,  914.0,LRSM,Closed,Amboy
AB01, 49.2556,  59.9431,  243.0,NNC,Open,Akbulak Array Site 01
AB02, 49.2591,  59.9465,  241.0,NNC,Open,Akbulak Array Site 02
AB03, 49.2511,  59.9431,  243.0,NNC,Open,Akbulak Array Site 03
AB04, 49.2578,  59.9371,  249.0,NNC,Open,Akbulak Array Site 04
AB05, 49.2736,  59.9431,  244.0,NNC,Open,Akbulak Array Site 05
AB06, 49.2611,  59.9693,  237.0,NNC,Open,Akbulak Array Site 06
AB07, 49.2410,  59.9593,  235.0,NNC,Open,Akbulak Array Site 07
AB08, 49.2553,  59.9447,  243.0,NNC,Open,Akbulak Array Site 08
AB09, 49.2614,  59.9181,  238.0,NNC,Open,Akbulak Array Site 09
AB31, 49.2558,  59.9431,  243.0,NNC,Open,Akbulak Array Site 31
ABA, 36.8017,   3.0350,  345.0,ALG,Open,Alger-Bouzareah
ABA1, 52.8884,   1.1453,   74.0,BGS,Open,Baconsthorpe
ABAR, 16.9420,  42.9390,  135.0,RYD,Open,Abu `Arish
ABAZ,-36.6020, 174.8321,   74.0,WELA,Open,Army Bay
ABB, 57.8450,  12.7860,  239.0,HFS,Closed,Abborr&aring;sen
ABC, 13.8272,  20.8444,  550.0,PAL,Closed,Ab&eacute;ch&eacute;
ABE, 57.1667,  -2.1000,   12.0,,Open,Aberdeen
ABEM,-37.7194, 146.3890,  548.8,MEL,Open,Aberfeldy
ABF, 58.3813,-134.6433,    3.0,AGS,Open,Auke Bay
ABG, 40.1167, -75.1333,    0.0,SCP,Reserved,Abington
ABGF, 16.0323, -61.6603, 1150.0,FDF,Open,Abri du Galion
ABH, 49.8817,   7.5475,  620.0,FBB,Open,Alteburg
ABHA, 18.2500,  42.7500, 2200.0,RYD,Open,Abha
ABJ, 44.0167, 144.2833,   39.0,JMA,Open,Abashiri
ABJ2, 43.8417, 143.8700,  180.0,JMA,Closed,Abashiri 2
ABJI, -7.7957, 114.2342,    0.0,DJA,Open,Asembagus
ABJM, 39.1653,-121.1912,  457.0,MNLO,Open,Bob Jauregui Ranch
ABK, 68.3417,  18.8167,  385.0,,Closed,Abisko
ABKAR, 49.2556,  59.9431,  243.0,NNC,Open,Akbulak Array Beam Reference Point
ABKT, 37.9304,  58.1189,  678.0,TRKM,Open,Alibek (Geyokcha)
ABL, 34.8508,-119.2208, 1981.0,PAS,Open,Mount Abel
ABM,-19.7810,  47.3650, 1843.0,TAN,Open,Ambohimiarambe
ABMC, 40.6860, -75.0540,  170.0,BLMY,Open,Merrill Creek
ABMS, 36.7500,   3.4800,   97.0,ALG,Open,Boumerdes
ABN, 40.3911, -95.8506,  294.0,,Open,Auburn
ABP, 13.4440, 120.7272,    0.0,PIVS,Closed,Abra de Ilog
ABPO,-19.0174,  47.2275, 1528.0,TAN,Open,Ambohimpanompo
ABQ,,,,,Alternate,(Alternate Abbreviation for ALQ)
ABR, 19.8070, -96.5340,  520.0,IIM,Reserved,El Abra
ABRA, 17.6490, 120.7120,   50.0,PIVS,Open,Dolores
ABRE, 40.5008,  15.7601, 1542.0,ENI,Open,Abriola
ABRM, 39.1352,-121.4868,   24.0,MNLO,Open,Brophy Road
ABRN, 42.9963, -76.4853,  224.0,BLMY,Open,Auburn
ABS, 41.7555,  42.8134, 1590.0,TIF,Open,Abast'umani
ABSA, 36.2733,   7.4778, 1025.0,ALG,Open,Djebel Ababsia
ABSE, 14.8847,  39.3272, 2392.0,,Open,Abaselama
ABSI, 46.7285,  11.3205, 1801.0,ZAMG,Open,Riobianco
ABT, 40.6058,  31.3208, 1794.0,DDA,Open,Abant
ABTA, 46.7474,  12.5123, 1041.0,ZAMG,Open,Abfaltersbach
ABTN, 35.8855, -86.1090,  363.0,TVA,Open,Auburntown
ABTO, 17.3538,  53.2966,  650.0,OMAN,Open,Wadi `Aybut
ABTX, 32.6238, -99.6431,  502.0,USTA,Open,Abilene-Hawley
ABU, 34.8603, 135.5739,  200.0,KYT,Open,Abuyama
ABUS, 22.2500,  31.1372,  230.0,HLW,Open,Abu Simbel
ABV, 18.7320, -64.3370,    3.0,PAL,Closed,Anegada
ABVI, 18.7297, -64.3325,    8.0,RSPR,Open,Anegada Island
AC-IS, 51.3894, 179.3425,   61.0,LRSM,Closed,Amchitka
ACA, 51.4809, 179.1193,   42.0,USGS,Closed,Amchitka Central A
ACAN,-32.2741, -67.1886,  634.0,SJA,Reserved,Cantantal
ACB, 51.4626, 179.0909,   47.0,USGS,Closed,Amchitka Central B
ACBG, 36.7687,  -2.1938,   64.0,CRT,Reserved,Cabo de Gata
ACC, 51.4843, 179.0431,   26.0,USGS,Closed,Amchitka Central C
ACCN, 43.3843, -73.6678,  340.0,PAL,Open,Adirondack Community College
ACCO,-30.5879, -69.0820, 2933.0,SJA,Reserved,Cerro Coronel
ACD, 51.4282, 179.1366,   37.0,USGS,Closed,Amchitka Central D
ACDV,-30.1703, -69.1206, 1630.0,SJA,Reserved,Cuesta del Viento
ACE, 51.4005, 179.1727,    9.0,USGS,Closed,Amchitka Central E
ACEO, 41.7490, -80.7680,  293.0,OGSO,Open,Ashtabula County Emergency Management Agency
ACER, 40.7867,  15.9427,  690.0,ROM,Open,Acerenza
ACES, 47.5595,-122.3411,   55.0,SEA,Open,Army Corps of Engineers Seattle
ACF, 51.5258, 178.9941,   62.0,USGS,Closed,Amchitka Central F
ACH,  8.6635, -79.9292,  900.0,UPA,Open,Altos de Campana
ACHA, 58.2107,-155.3260,  960.0,USAV,Open,Angle Creek Headwaters
ACHE,-31.1661, -66.6637, 1448.0,SJA,Reserved,Chepes
ACHM, 37.1050,  -3.8297,  862.0,CRT,Open,Chimeneas
ACI, 39.3508,  16.2031,  300.0,ACI,Open,Arcavacata
ACK, 65.9542,-162.1890,  377.0,GIA,Closed,Alder Creek
ACKN, 64.9915,-110.8708,  467.0,POLR,Closed,Achilles Lake
ACL, 38.5331,  14.3556,  140.0,LLI,Open,Alicudi
ACLA,  9.3650, -79.7065,  460.0,ACP,Open,Agua Clara
ACLR, 37.1897,  -2.5822, 1490.0,CRT,Reserved,Calar Alto
ACM, 42.6475, -85.8517,  268.0,AAM,Closed,Allegan
ACO, 36.6986, -99.1461,  521.0,TUL,Open,Alabaster Cavern State Park
ACP, 18.2078, -98.0597, 1250.0,UNM,Closed,Acatl&aacute;n
ACR,  8.6532, -83.1680,  500.0,UCR,Open,Cerro Adams
ACSO, 40.2319, -82.9820,  288.0,OGSO,Open,Alum Creek State Park
ACTN, 36.3470, -89.3100,  143.0,SLM,Closed,Antioch Church
ACTO, 43.6087, -80.0624,  360.0,LDN,Open,Acton
ACU, 38.5114,  -0.4106,  580.0,MDD,Open,Canalobre
ACVZ,  1.2270, -77.3588, 1470.0,,Open,
ACX, 16.8694, -99.8583,  300.0,UNM,Open,Acapulco
ACY, 11.9977, -85.2252,  400.0,INET,Closed,Acoyapa
AD-,,,,,Alternate,(Alternate Abbreviation for AD-IS)
AD-IS, 51.8750,-176.6792,   61.0,LRSM,Closed,Adak Island
AD1, 52.0233,-176.1517,  244.0,BOU,Closed,Great Sitkin
AD2, 51.9033,-176.0183,  381.0,BOU,Closed,Umak
AD3, 51.7428,-176.3569,  198.0,BOU,Closed,Kagalaska
AD4, 51.6986,-176.6325,  213.0,BOU,Closed,Hidden Bay
AD5, 51.6289,-176.9253,  152.0,BOU,Closed,Yakak
AD6, 51.7083,-177.2417,  137.0,BOU,Closed,South Kanaga
AD7, 51.9000,-177.0900,  244.0,BOU,Closed,North Kanaga
AD8, 51.9806,-176.6003,  259.0,BOU,Closed,Adagdak
ADA, 51.8633,-176.6550,    0.0,USGS,Closed,Adak (Finger Bay)
ADAG, 51.9802,-176.6017,  286.0,USAV,Open,Mount Adagdak
ADAT, 37.0623,  35.3550,  150.0,GBZT,Open,Adana
ADC, 38.9448,-120.9683,  524.0,MNLO,Closed,Auburn Dam (Forest Hills Divide)
ADE,-34.9669, 138.7089,  655.0,ADE,Open,Adelaide (Mount Bonython)
ADEN, 12.7760,  44.9830,   41.0,DHMR,Open,Aden
ADES, 13.6583, -89.3583, 1200.0,CIG,Closed,Adelaida
ADGF,,,,GUC,Reserved,
ADH, 38.6550, -27.2350,   83.0,PDA,Open,Angra do Heroismo
ADH0, 38.6633, -27.2066,  100.0,RUVS,Closed,Angra do Heroismo
ADI, 33.0789,  35.2250,  470.0,GII,Open,Adamit
ADJB, 36.1577,   3.4380, 1140.0,ALG,Open,Djebel Djouab
ADK, 51.8837,-176.6844,  116.0,PMR,Open,Adak
ADKI, 15.8446,  79.9686,   49.0,HYB,Open,Addanki
ADL, 34.5563,-117.4170,  900.0,PAS,Open,Adelanto
ADM, 36.7697,-116.2853, 1033.0,USGS,Closed,NRDS
ADN, 43.8333, -76.1197,  137.0,PAL,Closed,Adams
ADO, 34.5505,-117.4339,  908.0,PAS,Open,Adelanto Receiving Station
ADOK, 35.6521, -97.3711,  316.0,TUL,Open,Arcadia Dam
ADR, 37.1638,-121.6258,  207.0,MNLO,Open,Anderson Reservoir
ADRA, 36.7893,  -3.0487,    0.0,CRT,Reserved,Adra
ADRI, 45.0378,  12.0167,    1.0,TRI,Open,Adria
ADSC, 32.8119, -80.0167,    6.0,CERI,Open,Addlestone Academy
ADT, 37.0638,  35.3550,  150.0,MTAT,Closed,Adana
ADVT, 40.4332,  29.7383,  193.0,ISK,Open,Abdulvahap
ADWM, 38.4392,-120.8482,  251.0,MNLO,Open,Drytown Water District
AE-,,,,,Alternate,(Alternate Abbreviation for AE-NC)
AE-NC, 35.4336, -80.0597,  183.0,LRSM,Closed,Albemarle
AEB, 51.3604, 179.2474,    0.0,,Closed,Amchitka
AECU, -0.2705, -78.4070, 3000.0,QUI,Closed,Ecuador Network
AEI,,,,,Network/Other,(magnitude source code for AEIC)
AEIC,,,,,Network/Other,Alaska Earthquake Information Center; Fairbanks
AEKI,  2.1017,  98.4536,  840.0,DJA,Open,Aeknabara
AEU, 52.6201,   1.2347,   15.0,BGS,Open,East Anglia University
AFAR, 36.1333, -91.5312,  239.0,CERI,Open,Ash Flat
AFC, 37.2544,  -3.5450, 1490.0,MDD,Closed,Alfacar
AFDM, 38.9480,-120.9723,  549.0,MNLO,Open,Forest Hills Divide
AFFS, 23.9267,  43.0005, 1090.0,SNSN,Open,`Afif
AFH, 51.3439,  -1.2197,   91.0,BKN,Reserved,Ashford Hill
AFHM, 39.0418,-120.7913, 1064.0,MNLO,Open,Forest Hill Site
AFI,-13.9094,-171.7772,  706.0,WEL,Open,Afiamalu
AFIF, 24.1010,  43.1800,  950.0,RYD,Open,`Afif
AFL, 46.5300,  12.1800, 2235.0,TRI,Open,Alpe Faloria
AFO1, 45.6282, -74.8824,   53.0,OTT,Closed,Alfred
AFO2, 45.6308, -74.8540,   53.0,OTT,Closed,Alfred
AFOK, 16.3416, 145.6746,  418.0,SAPN,Closed,Anatahan South Rim
AFR,-17.5383,-149.7778,   50.0,PPT,Open,Afareaitu
AFRM, 38.7923,-121.3485,   31.0,MNLO,Open,Fiddyment Ranch
AFS, 30.4200,  -9.5000,   75.0,CNRM,Open,Agadir Facult&eacute; des Sciences
AFUE, 37.1133,  -3.5068, 1586.0,CRT,Reserved,Fuente del Hervidero
AG-,,,,,Alternate,(Alternate Abbreviation for AG-ME)
AG-ME, 44.3728, -69.6628,  152.0,LRSM,Closed,Augusta
AGA, 38.7845, -27.1732,   80.0,RUVS,Closed,Agualva
AGAC, 33.6384,-116.4011,  809.0,PAS,Closed,Agave Hill
AGAL, 23.4285,  32.8255,    0.0,HLW,Open,Gebel Alisa
AGAM, 60.1542,-141.0333, 1024.0,AGS,Open,Agassiz Lake
AGC, 37.8613,-122.4295,  223.0,MNLO,Open,Angel Island
AGCH,-37.8093, -72.6964,   81.0,GUC,Open,Angol
AGD, 11.5290,  42.8240,  450.0,ARO,Open,Arta Grotte
AGE, -8.8136, 148.0989,  303.0,RAB,Closed,Agenahambo
AGG, 39.0222,  22.3303,  540.0,THE,Open,Agios Georgios
AGI, 59.3800,-153.4200,  580.0,GIA,Closed,Augustine Island
AGIM, 38.8447,-120.9813,  305.0,MNLO,Closed,Gold Rush Inn
AGL, 39.5200,  66.8700,  865.0,UZBK,Open,Agalyk
AGM, 47.0817, -69.0233,  238.0,WES,Closed,Allagash
AGMN, 48.2978, -95.8619,  351.1,NEIC,Open,Agassiz National Wildlife Refuge
AGMR, 23.5377,  32.5405,    0.0,HLW,Open,Gebel Marawa
AGN, 38.9492,  38.7153,  914.0,ISK,Open,Agin
AGO, 46.0524,   3.1311,  523.0,CFF,Open,Saint Agoulin
AGOC, 34.1465,-118.7670,  259.0,PAS,Open,Agoura
AGP, 18.4075, -67.1410,  220.0,RSPR,Open,Aguadilla
AGPR, 18.4675, -67.1112,  119.0,RSPR,Open,Aguadilla
AGR, 27.1333,  78.0167,  163.0,NDI,Closed,Agra
AGRA, 27.2305,  77.9438,    0.0,NDI,Open,Agra
AGRI, 18.7330, 145.6530,   25.0,SAPN,Open,Agrihan Island
AGRT, 39.6088,  42.9870, 1440.0,ISK,Open,Agri
AGRW, 23.6450,  32.8097,    0.0,HLW,Open,Gebel Rewraw
AGS,,,,,Network/Other,USGS Alaska Seismic Project; Menlo Park
AGST, 37.2565,  15.2271,   70.0,ROM,Open,Augusta-Monte Tauro
AGT, 23.8833,  91.2500,   17.0,NDI,Open,Agartala
AGU, 59.3600,-153.4307, 1226.0,GIA,Closed,Augustine-Summit
AGUN, 12.6667, -86.8367,  300.0,INET,Open,Aguas Calientes
AGV,  8.5630, -71.0900, 3516.0,UAV,Open,La Aguada
AGVB,-19.7394, -50.2331,  393.0,VAO,Open,Aqua Vermelha
AGX, 21.8787,-102.3010,    0.0,UNM,Closed,Aguascalientes
AHA, 19.3733,-155.2650, 1070.0,HVO,Open,Ahua
AHB, 54.1153,-165.8157,  447.0,USAV,Open,Akutan Harbor
AHDM, 39.0483,-121.0765,  483.0,MNLO,Closed,Hacienda Drive
AHID, 42.7654,-111.1004, 1960.0,SLC,Open,Auburn Hatchery
AHML,-26.7856, -65.3354,  658.0,SJA,Reserved,Horco Molle
AHRM, 38.8543,-121.0705,  354.0,MNLO,Open,Harold F. Ross
AHS, 43.1339, 141.0460,  170.0,HSS,Closed,Asarigawa Hot Spring
AHU, 13.9217, -89.8458,  810.0,CIG,Closed,Ahuachap&aacute;n
AI-,,,,,Alternate,(Alternate Abbreviation for AI-NB)
AI-NB, 42.1328,-103.2764, 1311.0,LRSM,Closed,Alliance
AIA,-65.2500, -64.2667,   11.0,NASC,Closed,Argentine Island (Faraday; Akademik Vernadsky)
AIB, 43.9067, 142.6461,  260.0,HSS,Open,Aibetsu
AIC, 34.0133,-119.4372,  113.0,PAS,Closed,Anacapa Island
AID, 37.5667, 140.1167,  526.0,,Closed,Aizu (Inawashiro)
AIGLE, 46.3415,   6.9538,  800.0,ZUR,Open,Aigle
AIK, 38.0200, 138.2417,   34.0,JMA,Open,Aikawa
AIL, 14.8010, -61.1080,  879.0,FDF,Closed,Aileron
AIN, 19.3750,-155.4603, 1524.0,HVO,Open,Ainapo
AIO, 37.9712,  15.2330,  751.4,ROM,Open,Antillo
AIS,-37.7966,  77.5694,   36.0,STR,Open,Amsterdam Island
AIT, 32.1100,  -6.5110,    0.0,SPGM,Open,Ait Ouarda
AITP, -3.1384, 142.3489,    2.0,PMG,Open,Aitape
AIUT, 40.8558,-112.1755, 1334.0,SLC,Closed,Southern Antelope Island
AJAF, 41.9833,   8.7302,  210.0,GRN,Open,Ajaccio
AJAX, 56.8895,-158.2215,  967.0,USAV,Closed,Aniakchak Jack
AJI, 35.0433, 139.0967,   59.0,JMA,Open,Ajiro
AJM, 26.4792,  74.6431,  540.0,NDI,Open,Ajmer
AK-,,,,,Alternate,(Alternate Abbreviation for AK-OK)
AK-OK, 34.3683, -93.0572,  183.0,LRSM,Closed,Atoka
AK0, 51.7790,-176.8800,  152.0,BOU,Closed,North Tanaga
AK01, 50.6911,  29.2131,  160.0,NSAU,Open,Malin Array Site 01
AK02, 50.6573,  29.2057,  170.0,NSAU,Open,Malin Array Site 02
AK03, 50.7263,  29.2217,  160.0,NSAU,Open,Malin Array Site 03
AK04, 50.7226,  29.1660,  160.0,NSAU,Open,Malin Array Site 04
AK05, 50.6197,  29.2036,  180.0,NSAU,Open,Malin Array Site 05
AK06, 50.5858,  29.1985,  190.0,NSAU,Open,Malin Array Site 06
AK07, 50.5507,  29.2044,  170.0,NSAU,Open,Malin Array Site 07
AK08, 50.6338,  29.2548,  122.0,NSAU,Open,Malin Array Site 08
AK09, 50.6151,  29.2846,  180.0,NSAU,Open,Malin Array Site 09
AK1, 51.6650,-177.6417,   61.0,BOU,Closed,West Kanaga
AK10, 50.5990,  29.2513,  180.0,NSAU,Open,Malin Array Site 10
AK11, 50.6784,  29.1677,  160.0,NSAU,Open,Malin Array Site 11
AK12, 50.6437,  29.1549,  180.0,NSAU,Open,Malin Array Site 12
AK13, 50.6123,  29.0606,  180.0,NSAU,Open,Malin Array Site 13
AK14, 50.6306,  29.1076,  180.0,NSAU,Open,Malin Array Site 14
AK15, 50.6951,  29.1240,  170.0,NSAU,Open,Malin Array Site 15
AK16, 50.6700,  29.1058,  170.0,NSAU,Open,Malin Array Site 16
AK17, 50.6851,  29.0574,  170.0,NSAU,Open,Malin Array Site 17
AK18, 50.7221,  29.0676,  170.0,NSAU,Open,Malin Array Site 18
AK19, 50.7222,  29.0116,  180.0,NSAU,Open,Malin Array Site 19
AK2, 51.6633,-177.9300,   99.0,BOU,Closed,South Tanaga
AK20, 50.7430,  29.0100,  170.0,NSAU,Open,Malin Array Site 20
AK21, 50.7764,  29.0419,  160.0,NSAU,Open,Malin Array Site 21
AK22, 50.7608,  29.0712,  160.0,NSAU,Open,Malin Array Site 22
AK23, 50.7625,  29.1254,  160.0,NSAU,Open,Malin Array Site 23
AK3, 51.8067,-177.8200,  350.0,BOU,Closed,North Tanaga
AK4, 51.8230,-177.4450,    8.0,BOU,Closed,Bobrof
AK5, 51.8040,-176.8920,   91.0,BOU,Closed,North Tanaga
AKA, 54.1358,-165.7700,   12.0,USAV,Open,Akutan
AKA2, 54.1242,-165.7783,   90.0,USAV,Closed,Akutan 2
AKA4, 54.1100,-165.7317,  135.0,USAV,Closed,Akutan 4
AKA5, 54.1552,-165.8650,  225.0,USAV,Closed,Akutan 5
AKAR, 50.3200,  87.6200, 1380.0,ASRS,Open,Aktash
AKAS, 36.2339,  29.6052, 1279.0,DDA,Open,Kas
AKASG, 50.7012,  29.2242,  160.0,NSAU,Open,Malin Array Beam Reference Point
AKAY, 36.3063,   4.9353, 1485.0,ALG,Reserved,Kef Ayad
AKBB, 50.7012,  29.2242,  160.0,NSAU,Open,Malin Array Site BB
AKBBA, 54.0984,-165.9318,  310.0,USAV,Open,Akutan Broad Bight
AKC, 40.0244,  31.1808,  150.0,MTAT,Closed,Ak&ccedil;akoca
AKET, 36.0470,   3.8822, 1428.0,ALG,Open,Djebel Ketaf
AKF, 36.6333,   4.5667, 1545.0,ALG,Open,Akfadou
AKGG, 54.1988,-165.9916,  326.0,USAV,Open,Akutan Green Grass
AKGH,  6.2433,   0.0403,  377.0,KUK,Open,Akosombo
AKH, 41.4100,  43.4928, 1708.0,TIF,Open,Akhalk'alak'i
AKHS, 38.8788,  27.8138,  370.0,DDA,Open,Akhisar
AKI, 39.7183, 140.1017,   10.0,JMA,Closed,Akita
AKI1, 39.7150, 140.1033,    2.0,JMA,Open,Akita
AKIJ, 39.7500, 140.1417,   65.0,JMA,Open,Akita 2
AKK, 43.0171, 144.8423,   80.0,HSS,Open,Akkeshi
AKKT, 40.7844,  37.0136, 1593.0,DDA,Closed,Akkus
AKL, 20.7028,  77.0153,  310.0,NDI,Open,Akola
AKLV, 54.1627,-165.9556,  551.0,USAV,Open,Akutan Long Valley
AKM, 33.8122, 130.5972,   60.0,,Open,Akama
AKMC, 35.0270,  32.3300,  416.0,NIC,Open,Akamas
AKMO, 54.0912,-166.0106,  277.0,USAV,Open,Akutan Morgan
AKRB, 54.1301,-166.0687,  334.0,USAV,Open,Akutan Reef Bight
AKRG, 24.5030,  30.4980,  171.0,HLW,Open,Al Kharijah
AKRL, 23.6600,  32.7100,    0.0,HLW,Open,Khor El Raml
AKS, 38.8790,  27.8130,  370.0,ISK,Open,Akhisar
AKSA, 54.1358,-165.6967,  213.0,USAV,Open,Akutan Strait
AKSR, 23.6372,  33.0208,    0.0,HLW,Open,Khor Sakr
AKSZ, 40.1910,  43.8850, 1160.0,NSSP,Open,Araks
AKT, 41.4800,  47.7300, 1200.0,DRS,Open,Akhty
AKTK, 50.4347,  58.0167,  360.0,NNC,Open,Aqt&ouml;be (Aktyubinsk)
AKTO, 50.4348,  58.0164,  314.0,NNC,Open,Aqt&ouml;be (Aktyubinsk)
AKU, 65.6867, -18.1067,   24.0,REY,Closed,Akureyri
AKU-, 65.6717, -18.1000,    0.0,,Closed,Akureyri
AKUL, 38.4300,  68.5800,    0.0,TAJK,Open,Akkuyli
AKUR, 23.8940,  32.7760,    0.0,HLW,Open,Kurkur
AKUT, 54.1352,-165.7719,   19.2,PMR,Open,Akutan
AKV, 54.1262,-165.9627,  863.0,USAV,Open,Akutan Volcano
AKVQ, 60.8080, -78.1912,   17.0,POLR,Open,Akulivik
AKY, 40.6630,  30.6594,  110.0,MTAT,Closed,Akyazi
AL-,,,,,Alternate,(Alternate Abbreviation for AL-OK)
AL-OK, 34.3581, -95.6125,  213.0,LRSM,Closed,Antlers
AL31, 65.0653,-147.5639,  626.0,USAF,Open,ALPA Array Site 31
AL32, 65.1944,-147.3161,    0.0,USAF,Open,ALPA Array Site 32
AL33, 65.0286,-147.1961,    0.0,USAF,Open,ALPA Array Site 33
AL34,,,,,Alternate,(Alternate Abbreviation for FBAL)
