CODE,LATITUDE,LONGITUDE,ELEVATION,NETWORK,STATUS,NAME
SNAA,-71.6707,  -2.8379,  846.0,AWIB,Open,Sanae
SNART, 58.3387,   7.2097,  160.0,BER,Open,Snartemo
SNB, 48.7750,-123.1708,  405.0,WCTN,Open,Saturna Island
SNC, 33.2483,-119.5233,  275.0,PAS,Closed,San Nicolas Island
SNCC, 33.2480,-119.5240,  197.0,PAS,Open,San Nicolas Island
SND, 32.7667,-117.0667,  125.0,,Open,San Diego--College
SNDA, 33.5519,-116.6129, 1358.0,ANZA,Open,Jim Saunders Place; Anza
SNDC, 35.1426,-118.3029, 1294.0,PAS,Closed,Sand Canyon
SNET, 13.6868, -89.2315,  775.0,SNET,Open,Servicio Nacional de Estudios Territoriales
SNF, 50.5086,   4.2833,  108.0,UCC,Open,Seneffe
SNG,  7.1770, 100.6165,    4.0,BKK,Open,Songkhla
SNGE, 35.0925,  47.3470, 1940.0,THR,Open,Sanandaj
SNGI, 39.0300,  70.1300, 1400.0,GAR,Open,Sangi-Kar
SNGZ,-38.7815, 177.3399,  545.0,WELG,Open,Shannon Station
SNH, 60.1800,-142.8383,  732.0,AGS,Open,Sunshine Point
SNI, 39.1067, 141.7583,  518.0,TOH,Open,Sanriku
SNIWA, 46.4642,-119.6600,  312.0,PNNL,Open,Snively Ranch
SNJ, 43.7333,  16.6500,    0.0,,Closed,Sinj
SNJE, 13.8683, -89.6057, 1694.0,SNET,Open,San Jos&eacute;
SNK, 38.9530, -97.6030,  407.0,KGS,Closed,Salina
SNKA, 54.4740,-162.7753,  159.0,PAL,Closed,Sanak Island
SNL,-33.8872, 138.6392,  480.0,ADE,Closed,Sevenhill
SNLN, 62.8304,-107.6119,    0.4,OTT,Open,Sandy Lake; NWT
SNM, 34.0702,-106.9435, 1511.0,SNM,Open,Socorro
SNN, 36.6200, 101.7817,    0.0,,Open,Xining (Sining)
SNO, 39.3143,-111.5380, 2446.0,,Open,Snow College
SNOW, 43.4625,-110.7552, 2390.0,USBR,Open,Snow King Mountain
SNP, 28.9833,  77.0000,  220.0,NDI,Closed,Sonipat (Sonepat)
SNPH,  9.3430, 123.2360,  520.0,PIVS,Open,Sibulan
SNPN, 63.5178,-110.9077,  458.0,POLR,Closed,Snap Lake
SNPY, 41.2663, -74.0040,  122.0,BLMY,Open,Stony Point
SNQN, 56.5418, -79.2254,   15.0,POLR,Open,Sanikiluaq
SNQU, 39.7947,-111.9025, 1853.0,SLC,Open,Santaquin
SNR, 32.8618,-115.4368,  -29.0,PAS,Open,Schaffner Ranch
SNS, 33.4322,-117.5488,  152.0,PAS,Open,San Onofre
