stid,station_name,lat,lon,elev,begints,iem_network
MRY,Monterey Peninsula,36.59037,-121.8488,45.859528,-783770400,CA_ASOS
MHS,Mount Shasta City,41.31492,-122.3171,1080.7744,-686397600,CA_ASOS
MWS,MOUNT WILSON,34.23333,-118.06667,1739,-662644800,CA_ASOS
F70,Murrieta,33.5742,-117.1285,409.44284,1385390100,CA_ASOS
APC,Napa County,38.20746,-122.2804,7.9653864,94694400,CA_ASOS
EED,NEEDLES AIRPORT,34.76635,-114.62328,302,-667929600,CA_ASOS
3A6,NEWHALL,34.36667,-118.56667,427,-673200000,CA_ASOS
NZY,NORTH ISLAND NAS,32.69218,-117.20981,8,-781113600,CA_ASOS
DVO,Novato,38.14361,-122.5561,1,1191222600,CA_ASOS
OAK,OAKLAND,37.72128,-122.22072,3,-852048000,CA_ASOS
L52,Oceano County,35.1015,-120.6224,5,1532028900,CA_ASOS
OKB,OCEANSIDE MUNICIPAL (WAS L32),33.22,-117.35,9,436762800,CA_ASOS
ONT,ONTARIO INTL ARPT,34.056,-117.60119,287,-853516800,CA_ASOS
OVE,OROVILLE,39.49,-121.62,58,899279580,CA_ASOS
OXR,OXNARD,34.20081,-119.20722,13,-812649600,CA_ASOS
GXA,Palmdale,34.56662,-117.67038,923,1314406500,CA_ASOS
PMD,PALMDALE PRODUCTION,34.62939,-118.08455,774,-667929600,CA_ASOS
PSP,PALM SPRINGS RGNL,33.82967,-116.50669,141,-840862800,CA_ASOS
PAO,PALO ALTO AIRPORT,37.46111,-122.11506,2,468176400,CA_ASOS
PRB,Paso Robles,35.66941,-120.62913,251.18954,-886237200,CA_ASOS
O69,Petaluma,38.25778,-122.60533,27.5,1304512500,CA_ASOS
PVF,Placerville,38.72422,-120.75333,788,1249110900,CA_ASOS
PTV,PORTERVILLE (AWOS),36.02961,-119.06273,135,694224000,CA_ASOS
NTD,PT MUGU NAWS,34.12,-119.12,2,-752234400,CA_ASOS
87Q,PT PIEDRAS(CG/AMOS),35.66556,-121.28472,21,94726800,CA_ASOS
RNM,RAMONA AIRPORT,33.03917,-116.91525,425,915171120,CA_ASOS
RBL,RED BLUFF MUNICIPAL,40.1519,-122.2536,108,-694281600,CA_ASOS
RDD,REDDING MUNICIPAL,40.509,-122.29339,153,-799430400,CA_ASOS
O32,Reedley,36.671,-119.451,118.203835,1533227700,CA_ASOS
RAL,RIVERSIDE MUNICIPAL,33.95189,-117.44511,249,222296400,CA_ASOS
SAC,SACRAMENTO/EXECUTIV,38.5069,-121.495,8,-710157600,CA_ASOS
MCC,Sacramento McClellan,38.667,-121.4006,23,-951307200,CA_ASOS
SMF,SACRAMENTO METRO,38.69542,-121.59078,7,94694400,CA_ASOS
SNS,Salinas,36.66349,-121.60927,16.144438,-896443200,CA_ASOS
CPU,San Andreas,38.1461,-120.6482,405.20996,1541446200,CA_ASOS
SBD,San Bernardino,34.09535,-117.23487,353,-851590800,CA_ASOS
SQL,SAN CARLOS AIRPORT,37.51192,-122.24826,1,425941200,CA_ASOS
NUC,SAN CLEMENTE (AWOS),33.02275,-118.58849,55,-838252800,CA_ASOS
SDB,SANDBURG (AUT),34.74338,-118.7253,1379,-694281600,CA_ASOS
SDM,SAN DIEGO/BROWN FLD,32.57,-116.98,160,-781099200,CA_ASOS
SEE,SAN DIEGO/GILLESPIE,32.82622,-116.97244,117,94694400,CA_ASOS
SAN,SAN DIEGO/LINDBERG,32.73392,-117.18449,9,-883584000,CA_ASOS
MYF,SAN DIEGO/MONTG,32.81572,-117.13958,124,94737600,CA_ASOS
SFO,SAN FRANCISCO INTL,37.61897,-122.37489,5,-694260000,CA_ASOS
SJC,SAN JOSE INTL A,37.3594,-121.92442,17,-599558400,CA_ASOS
RHV,SAN JOSE/REID/HILLV,37.33,-121.82,41,324158400,CA_ASOS
SBP,San Luis Obispo,35.23809,-120.64408,55.602818,99695700,CA_ASOS
E16,San Martin,37.0816,-121.5968,86,1316795700,CA_ASOS
NSI,SAN NICOLAS ISLAND,33.23983,-119.45817,154,-837651600,CA_ASOS
SNA,SANTA ANA/JON-WAYNE,33.67567,-117.86822,16,-932176800,CA_ASOS
SBA,SANTA BARBARA MUNI,34.42611,-119.84361,3,-667929600,CA_ASOS
SMX,SANTA MARIA PUBLIC,34.9,-120.45,73,-694281600,CA_ASOS
SMO,SANTA MONICA MUNI,34.021,-118.44708,53,94694400,CA_ASOS
STS,Santa Rosa,38.50373,-122.81098,31.346924,-843973200,CA_ASOS
IZA,SANTA YNEZ,34.60681,-120.07556,205,709999200,CA_ASOS
O87,SHELTER COVE,40.01667,-124.06667,21,94694400,CA_ASOS
TVL,SOUTH LAKE TAHOE,38.89388,-119.99534,1909,94694400,CA_ASOS
SCK,STOCKTON METRO,37.89417,-121.23831,8,-914918400,CA_ASOS
