year,type,gpw
2007,supercomputer,0.10425
2007,supercomputer,0.10425
2007,supercomputer,0.10332
2007,supercomputer,0.10332
2007,supercomputer,0.10264
2007,supercomputer,0.10012
2007,supercomputer,0.09895
2007,supercomputer,0.09895
2007,supercomputer,0.09895
2007,supercomputer,0.09531
2007,supercomputer,0.09456
2007,supercomputer,0.09419
2007,supercomputer,0.0939
2007,supercomputer,0.09338
2007,supercomputer,0.09338
2007,supercomputer,0.09323
2007,supercomputer,0.09318
2007,supercomputer,0.09137
2007,supercomputer,0.09001
2007,supercomputer,0.08934
2007,supercomputer,0.08862
2007,supercomputer,0.08855
2007,supercomputer,0.08589
2007,supercomputer,0.08559
2007,supercomputer,0.08526
2007,supercomputer,0.0842
2007,supercomputer,0.08394
2007,supercomputer,0.07985
2007,supercomputer,0.07948
2007,supercomputer,0.07832
2007,supercomputer,0.07634
2007,supercomputer,0.07622
2007,supercomputer,0.07592
2007,supercomputer,0.07524
2007,supercomputer,0.07346
2007,supercomputer,0.07281
2007,supercomputer,0.07281
2007,supercomputer,0.07207
2007,supercomputer,0.07181
2007,supercomputer,0.07068
2007,supercomputer,0.07005
2007,supercomputer,0.06969
2007,supercomputer,0.06693
2007,supercomputer,0.06693
2007,supercomputer,0.06588
2007,supercomputer,0.06585
2007,supercomputer,0.06578
2007,supercomputer,0.06565
2007,supercomputer,0.0655
2007,supercomputer,0.06516
2007,supercomputer,0.06501
2007,supercomputer,0.06501
2007,supercomputer,0.06501
2007,supercomputer,0.06433
2007,supercomputer,0.06389
2007,supercomputer,0.06325
2007,supercomputer,0.06317
2007,supercomputer,0.06317
2007,supercomputer,0.06286
2007,supercomputer,0.06271
2007,supercomputer,0.06249
2007,supercomputer,0.0623
2007,supercomputer,0.06191
2007,supercomputer,0.06177
2007,supercomputer,0.06149
2007,supercomputer,0.0614
2007,supercomputer,0.0614
2007,supercomputer,0.0614
2007,supercomputer,0.0614
2007,supercomputer,0.0614
2007,supercomputer,0.0614
2007,supercomputer,0.0614
2007,supercomputer,0.0614
2007,supercomputer,0.0614
2007,supercomputer,0.0614
2007,supercomputer,0.0614
2007,supercomputer,0.0614
2007,supercomputer,0.06062
2007,supercomputer,0.06046
2007,supercomputer,0.05748
2007,supercomputer,0.05715
2007,supercomputer,0.05691
2007,supercomputer,0.05684
2007,supercomputer,0.05681
2007,supercomputer,0.05658
2007,supercomputer,0.0565
2007,supercomputer,0.05618
2007,supercomputer,0.05569
2007,supercomputer,0.05569
2007,supercomputer,0.05568
2007,supercomputer,0.05568
2007,supercomputer,0.05568
2007,supercomputer,0.05558
2007,supercomputer,0.05523
2007,supercomputer,0.05508
2007,supercomputer,0.05504
2007,supercomputer,0.05504
2007,supercomputer,0.05504
2007,supercomputer,0.05504
2007,supercomputer,0.05504
2007,supercomputer,0.05504
2007,supercomputer,0.05477
2007,supercomputer,0.0546
2007,supercomputer,0.05443
2007,supercomputer,0.05423
2007,supercomputer,0.05393
2007,supercomputer,0.05393
2007,supercomputer,0.05377
2007,supercomputer,0.05351
2007,supercomputer,0.05351
2007,supercomputer,0.05317
2007,supercomputer,0.0529
2007,supercomputer,0.0529
2007,supercomputer,0.05289
2007,supercomputer,0.05289
2007,supercomputer,0.05289
2007,supercomputer,0.05289
2007,supercomputer,0.05289
2007,supercomputer,0.05289
2007,supercomputer,0.05289
2007,supercomputer,0.0528
2007,supercomputer,0.05259
2007,supercomputer,0.0521
2007,supercomputer,0.0521
2007,supercomputer,0.05175
2007,supercomputer,0.05175
2007,supercomputer,0.05175
2007,supercomputer,0.05175
2007,supercomputer,0.05175
2007,supercomputer,0.05175
2007,supercomputer,0.05175
2007,supercomputer,0.05175
2007,supercomputer,0.05175
2007,supercomputer,0.05175
2007,supercomputer,0.05175
2007,supercomputer,0.05175
2007,supercomputer,0.05175
2007,supercomputer,0.05175
2007,supercomputer,0.05175
2007,supercomputer,0.05175
2007,supercomputer,0.05175
2007,supercomputer,0.05175
2007,supercomputer,0.05175
2007,supercomputer,0.05175
2007,supercomputer,0.05175
2007,supercomputer,0.05175
2007,supercomputer,0.05175
2007,supercomputer,0.05175
2007,supercomputer,0.05175
2007,supercomputer,0.05175
2007,supercomputer,0.05175
2007,supercomputer,0.05175
2007,supercomputer,0.05175
2007,supercomputer,0.05175
2007,supercomputer,0.05175
2007,supercomputer,0.05175
2007,supercomputer,0.05175
2007,supercomputer,0.05175
2007,supercomputer,0.05175
2007,supercomputer,0.05175
2007,supercomputer,0.05175
2007,supercomputer,0.05175
2007,supercomputer,0.05175
2007,supercomputer,0.05174
2007,supercomputer,0.05174
2007,supercomputer,0.05174
2007,supercomputer,0.05174
2007,supercomputer,0.05174
2007,supercomputer,0.05174
2007,supercomputer,0.05173
2007,supercomputer,0.05139
2007,supercomputer,0.05139
2007,supercomputer,0.05101
2007,supercomputer,0.05101
2007,supercomputer,0.05093
2007,supercomputer,0.05074
2007,supercomputer,0.05074
2007,supercomputer,0.05074
2007,supercomputer,0.05074
2007,supercomputer,0.05074
2007,supercomputer,0.05074
2007,supercomputer,0.05074
2007,supercomputer,0.05074
2007,supercomputer,0.05074
2007,supercomputer,0.05074
2007,supercomputer,0.05074
2007,supercomputer,0.05074
2007,supercomputer,0.05074
2007,supercomputer,0.05062
2007,supercomputer,0.04981
2007,supercomputer,0.04974
2007,supercomputer,0.04952
2007,supercomputer,0.04856
2007,supercomputer,0.04797
2007,supercomputer,0.04773
2007,supercomputer,0.04773
2007,supercomputer,0.04765
2007,supercomputer,0.04765
2007,supercomputer,0.04765
2007,supercomputer,0.04765
2007,supercomputer,0.04765
2007,supercomputer,0.04765
2007,supercomputer,0.04765
2007,supercomputer,0.04765
2007,supercomputer,0.04765
2007,supercomputer,0.04765
2007,supercomputer,0.04752
2007,supercomputer,0.04722
2007,supercomputer,0.0461
2007,supercomputer,0.04563
2007,supercomputer,0.04553
2007,supercomputer,0.04533
2007,supercomputer,0.04473
2007,supercomputer,0.04473
2007,supercomputer,0.04414
2007,supercomputer,0.04409
2007,supercomputer,0.0438
2007,supercomputer,0.04359
2007,supercomputer,0.04275
2007,supercomputer,0.04218
2007,supercomputer,0.04182
2007,supercomputer,0.04127
2007,supercomputer,0.04022
2007,supercomputer,0.04022
2007,supercomputer,0.04004
2007,supercomputer,0.04004
2007,supercomputer,0.04004
2007,supercomputer,0.04004
2007,supercomputer,0.04004
2007,supercomputer,0.04002
2007,supercomputer,0.04002
2007,supercomputer,0.04002
2007,supercomputer,0.04002
2007,supercomputer,0.04002
2007,supercomputer,0.04002
2007,supercomputer,0.04002
2007,supercomputer,0.04002
2007,supercomputer,0.04002
2007,supercomputer,0.03996
2007,supercomputer,0.03954
2007,supercomputer,0.03954
2007,supercomputer,0.03954
2007,supercomputer,0.03954
2007,supercomputer,0.03954
2007,supercomputer,0.03954
2007,supercomputer,0.03954
2007,supercomputer,0.03954
2007,supercomputer,0.03952
2007,supercomputer,0.03947
2007,supercomputer,0.03913
2007,supercomputer,0.03867
2007,supercomputer,0.03863
2007,supercomputer,0.03847
2007,supercomputer,0.03828
2007,supercomputer,0.03784
2007,supercomputer,0.03755
2007,supercomputer,0.0373
2007,supercomputer,0.0373
2007,supercomputer,0.03729
2007,supercomputer,0.03729
2007,supercomputer,0.03723
2007,supercomputer,0.0372
2007,supercomputer,0.03718
2007,supercomputer,0.03717
2007,supercomputer,0.03711
2007,supercomputer,0.03711
2007,supercomputer,0.03711
2007,supercomputer,0.03711
2007,supercomputer,0.03702
2007,supercomputer,0.037
2007,supercomputer,0.037
2007,supercomputer,0.037
2007,supercomputer,0.037
2007,supercomputer,0.03699
2007,supercomputer,0.03699
2007,supercomputer,0.03689
2007,supercomputer,0.0368
2007,supercomputer,0.03666
2007,supercomputer,0.03666
2007,supercomputer,0.03666
2007,supercomputer,0.03659
2007,supercomputer,0.03659
2007,supercomputer,0.03653
2007,supercomputer,0.03651
2007,supercomputer,0.03651
2007,supercomputer,0.03651
2007,supercomputer,0.03645
2007,supercomputer,0.03645
2007,supercomputer,0.03642
2007,supercomputer,0.03631
2007,supercomputer,0.03631
2007,supercomputer,0.03629
2007,supercomputer,0.03621
2007,supercomputer,0.03603
2007,supercomputer,0.03603
2007,supercomputer,0.03536
2007,supercomputer,0.03523
2007,supercomputer,0.03515
2007,supercomputer,0.03515
2007,supercomputer,0.03515
2007,supercomputer,0.03515
2007,supercomputer,0.03515
2007,supercomputer,0.03515
2007,supercomputer,0.03515
2007,supercomputer,0.03515
2007,supercomputer,0.03515
2007,supercomputer,0.03515
2007,supercomputer,0.03515
2007,supercomputer,0.03515
2007,supercomputer,0.03515
2007,supercomputer,0.03474
2007,supercomputer,0.03474
2007,supercomputer,0.03474
2007,supercomputer,0.03474
2007,supercomputer,0.03474
2007,supercomputer,0.03474
2007,supercomputer,0.03468
2007,supercomputer,0.03448
2007,supercomputer,0.03448
2007,supercomputer,0.03448
2007,supercomputer,0.03448
2007,supercomputer,0.03448
2007,supercomputer,0.03297
2007,supercomputer,0.03294
2007,supercomputer,0.03285
2007,supercomputer,0.03283
2007,supercomputer,0.0328
2007,supercomputer,0.03266
2007,supercomputer,0.03262
2007,supercomputer,0.03236
2007,supercomputer,0.0322
2007,supercomputer,0.03193
2007,supercomputer,0.03193
2007,supercomputer,0.03179
2007,supercomputer,0.03178
2007,supercomputer,0.03178
2007,supercomputer,0.03169
2007,supercomputer,0.03167
2007,supercomputer,0.03113
2007,supercomputer,0.03096
2007,supercomputer,0.03091
2007,supercomputer,0.0308
2007,supercomputer,0.03068
2007,supercomputer,0.03067
2007,supercomputer,0.03029
2007,supercomputer,0.03015
2007,supercomputer,0.03009
2007,supercomputer,0.02993
2007,supercomputer,0.0299
2007,supercomputer,0.02876
2007,supercomputer,0.02875
2007,supercomputer,0.02866
2007,supercomputer,0.02863
2007,supercomputer,0.02857
2007,supercomputer,0.02856
2007,supercomputer,0.02851
2007,supercomputer,0.02841
2007,supercomputer,0.02838
2007,supercomputer,0.02836
2007,supercomputer,0.02823
2007,supercomputer,0.02821
2007,supercomputer,0.0282
2007,supercomputer,0.02819
2007,supercomputer,0.028
2007,supercomputer,0.02772
2007,supercomputer,0.02768
2007,supercomputer,0.02714
2007,supercomputer,0.02714
2007,supercomputer,0.02714
2007,supercomputer,0.02714
2007,supercomputer,0.02714
2007,supercomputer,0.02708
2007,supercomputer,0.02665
2007,supercomputer,0.02659
2007,supercomputer,0.02657
2007,supercomputer,0.02605
2007,supercomputer,0.02583
2007,supercomputer,0.02576
2007,supercomputer,0.02493
2007,supercomputer,0.02462
2007,supercomputer,0.02462
2007,supercomputer,0.02432
2007,supercomputer,0.02417
2007,supercomputer,0.02381
2007,supercomputer,0.02364
2007,supercomputer,0.02279
2007,supercomputer,0.02239
